Claudius, Hermann
Warburg, Anna
Heine, Betty
Mendelssohn Bartholdy, Abraham
Brahms, Christiane
Quadflieg, Roswitha
Reemtsma, Philipp Fürchtegott
Dehmel, Ida
Telemann, Georg Michael
Runge, Johann Daniel
Gründgens, Gustaf
Thälmann, Irma
Wichern, Johannes
Hensel, Wilhelm
Buchholz, Ruth
Anders, Peter
Speckter, Hans
Röhl, Anja
Dohnányi, Justus von
Biermann-Ratjen, Ernst Ulrich
Riesser, Frommaid
Otto, Alexander
Perthes, Charlotte
Lindner, Peter
Stern, William
Suhr, Cornelius
Maetzel, Emil
Brockes, Barthold Heinrich gJunior
Schröder, Bruno
Falke, Gertrud
Brönneke, Stefan
Reimarus, Hermann Samuel
Schramm, Ernst
Meinhof, Ulrike Marie
Ackermann, Sophie Charlotte
Sello, Gottfried
Maetzel-Johannsen, Dorothea
Mendelssohn, Joseph
Plaut, Hugo Carl
Wolf, Johann
Petersen, Antonie
Cletzen, Johann
Fuchs, Anke
Zylmann, Detert
Krogmann, Richard
Cohen, Raphael
Vom Kampe, Eberhard
Winckler, Johann Friedrich
Marchwitza, Hilde
Mommsen, Tycho Karl Johannes
Schmidt, Friedrich Ludwig <1833-1890>
Misler, Johann Gottfried <Theologe>
Kopitzsch, Wolfgang
Hesse, Heinrich Levin
Lüders, Elsa Maria
Wächter, Gustav
Ditmer, Tobias gder Jüngere
Faaß, August Heinrich
Trebitsch, Markus
Gurlitt, Louis
Bökel, Julius Johann
Tügel, Otto Tetjus
Ohlendorff, Elisabeth von
Reventlow, Friederike Juliane Gräfin von
Reventlow-Criminil, Heinrich von
Armbrust, Walter
Baumann, Hermann
Behdau, Theodor
Behls, Johann Jacob
Berndes, Ludwig Johann Conrad
Berens, Wilhelm Ernst Joh.
Bertram, Gustav
Birgfeld, Hugo Rudolph
Blaun, Wilhem
Sieveking, Louise
Breyer, Johann Friedrich August
David, Julius Paul
Baling, Dorothea Maria
Decker, Johannes
Detmering, Roland-Fritz
Lejeune Dirichlet, Rebecka
Ditmers, Hinrich
Dulcken, Louise
Collien, Thomas
s, Johann
Grassmann, Felix
Bauche, Wilhelm
Textor, Maria Catharina
Mann, Thomas
Wittorf, John F.
Ratjen, Henning
Hahn, Ulla
Brokes, Erich Nikolaus
Schröder-Devrient, Wilhelmine
Hennings, August
Hertz, Adolph Jacob
Liebeschütz, Hans
Schreye, Albert
Nevermann, Knut
Kampe, Joachim vom
Kampen, Eberhard von
VomKampe, Johann Joachim
Koppel, Walter
Schimmelmann, Heinrich Carl von
Vater a|p|Christian August Friedrich, 
Mutter a|p|Johanna Christiana Maria Dorothea Kloß, 
Luis, Johann Hermann
Mendel, Max
